
::  brazilian-cars 

Atenção! Esta aplicação é apenas uma ferramenta de apoio ao desenvolvedor e não deve ser usada no ambiente de produção!

+----------+---------+-------------------------------- ACURA -----------------------+-------+----------+----------+
| Id       | Family  | Name                                                         | Year  | Fuel     | Model Id |
| 2119993  | Hummer | Hummer Hard-Top 6.5 4x4 Diesel TB                            | 1999  | Diesel   | 21       |
| 2119983  | Hummer | Hummer Hard-Top 6.5 4x4 Diesel TB                            | 1998  | Diesel   | 21       |
| 2220003  | Hummer | Hummer Open-Top 6.5 4x4 Diesel TB                            | 2000  | Diesel   | 22       |
| 2219993  | Hummer | Hummer Open-Top 6.5 4x4 Diesel TB                            | 1999  | Diesel   | 22       |
| 2219983  | Hummer | Hummer Open-Top 6.5 4x4 Diesel TB                            | 1998  | Diesel   | 22       |
| 2320003  | Hummer | Hummer Wagon 6.5 4x4 Diesel TB                               | 2000  | Diesel   | 23       |
| 2319993  | Hummer | Hummer Wagon 6.5 4x4 Diesel TB                               | 1999  | Diesel   | 23       |
| 2319983  | Hummer | Hummer Wagon 6.5 4x4 Diesel TB                               | 1998  | Diesel   | 23       |
+----------+--------+-------------------------------- AM GEN ----------------------+-------+----------+----------+



+----------+----------+---------------------------- ASIA MOTORS ---------------------+-------+----------+----------+
| Id       | Family   | Name                                                         | Year  | Fuel     | Model Id |
+----------+----------+--------------------------------------------------------------+-------+----------+----------+
| 2419983  | AM-825   | AM-825 Luxo 4.0 Diesel                                       | 1998  | Diesel   | 24       |
| 2419973  | AM-825   | AM-825 Luxo 4.0 Diesel                                       | 1997  | Diesel   | 24       |
| 2419963  | AM-825   | AM-825 Luxo 4.0 Diesel                                       | 1996  | Diesel   | 24       |
| 2419953  | AM-825   | AM-825 Luxo 4.0 Diesel                                       | 1995  | Diesel   | 24       |
| 2419943  | AM-825   | AM-825 Luxo 4.0 Diesel                                       | 1994  | Diesel   | 24       |
| 2519983  | AM-825   | AM-825 Super Luxo 4.0 Diesel                                 | 1998  | Diesel   | 25       |
| 2519973  | AM-825   | AM-825 Super Luxo 4.0 Diesel                                 | 1997  | Diesel   | 25       |
| 2519963  | AM-825   | AM-825 Super Luxo 4.0 Diesel                                 | 1996  | Diesel   | 25       |
| 2519953  | AM-825   | AM-825 Super Luxo 4.0 Diesel                                 | 1995  | Diesel   | 25       |
| 2519943  | AM-825   | AM-825 Super Luxo 4.0 Diesel                                 | 1994  | Diesel   | 25       |
| 2619983  | Hi-Topic | Hi-Topic SLX/SDX/DLX Full Diesel                             | 1998  | Diesel   | 26       |
| 2619973  | Hi-Topic | Hi-Topic SLX/SDX/DLX Full Diesel                             | 1997  | Diesel   | 26       |
| 2619963  | Hi-Topic | Hi-Topic SLX/SDX/DLX Full Diesel                             | 1996  | Diesel   | 26       |
| 2619953  | Hi-Topic | Hi-Topic SLX/SDX/DLX Full Diesel                             | 1995  | Diesel   | 26       |
| 2619943  | Hi-Topic | Hi-Topic SLX/SDX/DLX Full Diesel                             | 1994  | Diesel   | 26       |
| 2619933  | Hi-Topic | Hi-Topic SLX/SDX/DLX Full Diesel                             | 1993  | Diesel   | 26       |
| 2719983  | Hi-Topic | Hi-Topic STD Diesel                                          | 1998  | Diesel   | 27       |
| 2719973  | Hi-Topic | Hi-Topic STD Diesel                                          | 1997  | Diesel   | 27       |
| 2719963  | Hi-Topic | Hi-Topic STD Diesel                                          | 1996  | Diesel   | 27       |
